,Model,Accuracy,F1 Score,Precision,Recall or Sensitivity,Specificity
0,AdaBoostClassifier,0.6710076335877864,0.7166200648183555,0.6195592428946312,0.8504280329351195,0.49886674031054573
1,DecisionTreeClassifier,0.8932213740458014,0.8906503945249173,0.8926757270266661,0.8888487162747967,0.8974564175587604
2,KNeighborsClassifier,0.7439694656488549,0.720488502081273,0.7736672999721409,0.6746033017706415,0.8105562063979825
3,LogisticRegression,0.7273129770992367,0.7219812633170655,0.720588227839909,0.7238930921785003,0.7305998813369737
4,MultinomialNB,0.7075419847328246,0.6815576339713938,0.7295351614487551,0.6399724391474454,0.7723627769993564
5,RandomForestClassifier,0.891709923664122,0.8906205236427819,0.8802249883537375,0.9014900151728737,0.8823339927701309
6,SVC,0.6659694656488548,0.5817828786582705,0.7512697184486915,0.47516131695510205,0.8490906336587107
