,Accuracy,F1 Score,FN,FP,Model,Precision,Recall or Sensitivity,Specificity,TN,TP,Monte_Carlo_iteration
2,0.8839694656488549,0.879746835443038,38.0,38.0,DecisionTreeClassifier,0.879746835443038,0.879746835443038,0.887905604719764,301.0,278.0,Iteration_11
3,0.7343511450381679,0.7050847457627119,108.0,66.0,MultinomialNB,0.7591240875912408,0.6582278481012658,0.8053097345132744,273.0,208.0,Iteration_11
4,0.7007633587786259,0.6216216216216217,155.0,41.0,SVC,0.7970297029702971,0.509493670886076,0.8790560471976401,298.0,161.0,Iteration_11
5,0.8870229007633588,0.8850931677018633,31.0,43.0,RandomForestClassifier,0.8689024390243902,0.9018987341772152,0.8731563421828908,296.0,285.0,Iteration_11
6,0.6641221374045801,0.7074468085106383,50.0,170.0,AdaBoostClassifier,0.6100917431192661,0.8417721518987342,0.49852507374631266,169.0,266.0,Iteration_11
0,0.7465648854961832,0.7260726072607262,82.0,84.0,LogisticRegression,0.7236842105263158,0.7284768211920529,0.7620396600566572,269.0,220.0,Iteration_12
1,0.7389312977099237,0.6918918918918918,110.0,61.0,KNeighborsClassifier,0.758893280632411,0.6357615894039735,0.8271954674220963,292.0,192.0,Iteration_12
2,0.8870229007633588,0.8749999999999999,43.0,31.0,DecisionTreeClassifier,0.8931034482758621,0.8576158940397351,0.9121813031161473,322.0,259.0,Iteration_12
3,0.716030534351145,0.6654676258992807,117.0,69.0,MultinomialNB,0.7283464566929134,0.6125827814569537,0.8045325779036827,284.0,185.0,Iteration_12
4,0.6778625954198473,0.5667351129363449,164.0,47.0,SVC,0.745945945945946,0.45695364238410596,0.8668555240793201,306.0,138.0,Iteration_12
5,0.8854961832061069,0.8756218905472637,38.0,37.0,RandomForestClassifier,0.8770764119601329,0.8741721854304636,0.8951841359773371,316.0,264.0,Iteration_12
6,0.6916030534351145,0.7186629526462397,44.0,158.0,AdaBoostClassifier,0.6201923076923077,0.8543046357615894,0.5524079320113314,195.0,258.0,Iteration_12
0,0.7404580152671756,0.724025974025974,84.0,86.0,LogisticRegression,0.7216828478964401,0.7263843648208469,0.7528735632183908,262.0,223.0,Iteration_13
1,0.7770992366412214,0.7482758620689655,90.0,56.0,KNeighborsClassifier,0.7948717948717948,0.7068403908794788,0.8390804597701149,292.0,217.0,Iteration_13
2,0.8946564885496183,0.8892455858747993,30.0,39.0,DecisionTreeClassifier,0.8765822784810127,0.9022801302931596,0.8879310344827587,309.0,277.0,Iteration_13
3,0.7343511450381679,0.6968641114982579,107.0,67.0,MultinomialNB,0.7490636704119851,0.6514657980456026,0.8074712643678161,281.0,200.0,Iteration_13
4,0.6793893129770993,0.5783132530120482,163.0,47.0,SVC,0.7539267015706806,0.46905537459283386,0.8649425287356322,301.0,144.0,Iteration_13
5,0.8946564885496183,0.8909952606635071,25.0,44.0,RandomForestClassifier,0.8650306748466258,0.9185667752442996,0.8735632183908046,304.0,282.0,Iteration_13
6,0.6778625954198473,0.710562414266118,48.0,163.0,AdaBoostClassifier,0.6137440758293838,0.8436482084690554,0.5316091954022989,185.0,259.0,Iteration_13
0,0.7251908396946565,0.7178683385579937,83.0,97.0,LogisticRegression,0.7024539877300614,0.7339743589743589,0.717201166180758,246.0,229.0,Iteration_14
1,0.7206106870229008,0.6955074875207986,103.0,80.0,KNeighborsClassifier,0.7231833910034602,0.6698717948717948,0.7667638483965015,263.0,209.0,Iteration_14
2,0.8916030534351145,0.8860353130016051,36.0,35.0,DecisionTreeClassifier,0.887459807073955,0.8846153846153846,0.8979591836734694,308.0,276.0,Iteration_14
3,0.683969465648855,0.6532663316582915,117.0,90.0,MultinomialNB,0.6842105263157895,0.625,0.7376093294460642,253.0,195.0,Iteration_14
4,0.6580152671755726,0.5625,168.0,56.0,SVC,0.72,0.46153846153846156,0.8367346938775511,287.0,144.0,Iteration_14
5,0.8839694656488549,0.880503144654088,32.0,44.0,RandomForestClassifier,0.8641975308641975,0.8974358974358975,0.8717201166180758,299.0,280.0,Iteration_14
6,0.648854961832061,0.6908602150537634,55.0,175.0,AdaBoostClassifier,0.5949074074074074,0.8237179487179487,0.4897959183673469,168.0,257.0,Iteration_14
0,0.7404580152671756,0.7310126582278481,80.0,90.0,LogisticRegression,0.719626168224299,0.7427652733118971,0.7383720930232558,254.0,231.0,Iteration_15
1,0.7282442748091603,0.6952054794520549,108.0,70.0,KNeighborsClassifier,0.7435897435897436,0.6527331189710611,0.7965116279069767,274.0,203.0,Iteration_15
2,0.9022900763358779,0.8971061093247589,32.0,32.0,DecisionTreeClassifier,0.8971061093247589,0.8971061093247589,0.9069767441860465,312.0,279.0,Iteration_15
3,0.7343511450381679,0.706081081081081,102.0,72.0,MultinomialNB,0.7437722419928826,0.6720257234726688,0.7906976744186046,272.0,209.0,Iteration_15
4,0.7022900763358778,0.6313799621928167,144.0,51.0,SVC,0.7660550458715596,0.5369774919614148,0.8517441860465116,293.0,167.0,Iteration_15
5,0.8977099236641222,0.8938193343898575,29.0,38.0,RandomForestClassifier,0.88125,0.9067524115755627,0.8895348837209303,306.0,282.0,Iteration_15
6,0.6717557251908397,0.7189542483660132,36.0,179.0,AdaBoostClassifier,0.6057268722466961,0.8842443729903537,0.4796511627906977,165.0,275.0,Iteration_15
0,0.7114503816793893,0.7051482059282371,94.0,95.0,LogisticRegression,0.7040498442367601,0.70625,0.7164179104477612,240.0,226.0,Iteration_16
1,0.716030534351145,0.6879194630872483,115.0,71.0,KNeighborsClassifier,0.7427536231884058,0.640625,0.7880597014925373,264.0,205.0,Iteration_16
2,0.8961832061068702,0.8947368421052632,31.0,37.0,DecisionTreeClassifier,0.8865030674846626,0.903125,0.8895522388059701,298.0,289.0,Iteration_16
3,0.6732824427480916,0.6397306397306397,130.0,84.0,MultinomialNB,0.6934306569343066,0.59375,0.7492537313432835,251.0,190.0,Iteration_16
4,0.650381679389313,0.5604606525911707,174.0,55.0,SVC,0.7263681592039801,0.45625,0.835820895522388,280.0,146.0,Iteration_16
5,0.8885496183206106,0.888208269525268,30.0,43.0,RandomForestClassifier,0.8708708708708709,0.90625,0.8716417910447761,292.0,290.0,Iteration_16
6,0.6549618320610687,0.7010582010582012,55.0,171.0,AdaBoostClassifier,0.6077981651376146,0.828125,0.48955223880597015,164.0,265.0,Iteration_16
0,0.7251908396946565,0.7142857142857142,84.0,96.0,LogisticRegression,0.7009345794392523,0.7281553398058253,0.7225433526011561,250.0,225.0,Iteration_17
1,0.7374045801526717,0.7044673539518901,104.0,68.0,KNeighborsClassifier,0.7509157509157509,0.6634304207119741,0.8034682080924855,278.0,205.0,Iteration_17
2,0.9068702290076336,0.9011345218800648,31.0,30.0,DecisionTreeClassifier,0.9025974025974026,0.8996763754045307,0.9132947976878613,316.0,278.0,Iteration_17
3,0.6961832061068702,0.6644182124789207,112.0,87.0,MultinomialNB,0.6936619718309859,0.6375404530744336,0.7485549132947977,259.0,197.0,Iteration_17
4,0.6564885496183206,0.5562130177514794,168.0,57.0,SVC,0.7121212121212122,0.4563106796116505,0.8352601156069365,289.0,141.0,Iteration_17
5,0.9007633587786259,0.8959999999999999,29.0,36.0,RandomForestClassifier,0.8860759493670886,0.9061488673139159,0.8959537572254336,310.0,280.0,Iteration_17
6,0.667175572519084,0.7101063829787233,42.0,176.0,AdaBoostClassifier,0.6027088036117382,0.8640776699029126,0.4913294797687861,170.0,267.0,Iteration_17
0,0.7038167938931298,0.7138643067846607,107.0,87.0,LogisticRegression,0.7355623100303952,0.6934097421203438,0.7156862745098039,219.0,242.0,Iteration_18
1,0.7282442748091603,0.7244582043343654,115.0,63.0,KNeighborsClassifier,0.7878787878787878,0.670487106017192,0.7941176470588235,243.0,234.0,Iteration_18
2,0.8793893129770992,0.8836524300441825,49.0,30.0,DecisionTreeClassifier,0.9090909090909091,0.8595988538681948,0.9019607843137255,276.0,300.0,Iteration_18
3,0.6885496183206107,0.6792452830188679,133.0,71.0,MultinomialNB,0.7526132404181185,0.6189111747851003,0.7679738562091504,235.0,216.0,Iteration_18
4,0.648854961832061,0.5950704225352113,180.0,50.0,SVC,0.771689497716895,0.48424068767908307,0.8366013071895425,256.0,169.0,Iteration_18
5,0.8809160305343512,0.8866279069767442,44.0,34.0,RandomForestClassifier,0.8997050147492626,0.8739255014326648,0.8888888888888888,272.0,305.0,Iteration_18
6,0.6610687022900763,0.7231920199501247,59.0,163.0,AdaBoostClassifier,0.6401766004415012,0.830945558739255,0.4673202614379085,143.0,290.0,Iteration_18
0,0.7312977099236642,0.722397476340694,91.0,85.0,LogisticRegression,0.7292993630573248,0.715625,0.746268656716418,250.0,229.0,Iteration_19
1,0.7358778625954199,0.719611021069692,98.0,75.0,KNeighborsClassifier,0.7474747474747475,0.69375,0.7761194029850746,260.0,222.0,Iteration_19
2,0.9007633587786259,0.8985959438377535,32.0,33.0,DecisionTreeClassifier,0.897196261682243,0.9,0.9014925373134328,302.0,288.0,Iteration_19
3,0.7114503816793893,0.6844741235392321,115.0,74.0,MultinomialNB,0.7347670250896058,0.640625,0.7791044776119403,261.0,205.0,Iteration_19
4,0.6610687022900763,0.573076923076923,171.0,51.0,SVC,0.745,0.465625,0.8477611940298507,284.0,149.0,Iteration_19
5,0.8961832061068702,0.896341463414634,26.0,42.0,RandomForestClassifier,0.875,0.91875,0.8746268656716418,293.0,294.0,Iteration_19
6,0.6763358778625954,0.7232375979112272,43.0,169.0,AdaBoostClassifier,0.6210762331838565,0.865625,0.4955223880597015,166.0,277.0,Iteration_19
0,0.7221374045801526,0.7275449101796406,87.0,95.0,LogisticRegression,0.7189349112426036,0.7363636363636363,0.7076923076923077,230.0,243.0,Iteration_20
1,0.766412213740458,0.7559808612440191,93.0,60.0,KNeighborsClassifier,0.797979797979798,0.7181818181818181,0.8153846153846154,265.0,237.0,Iteration_20
2,0.8946564885496183,0.8959276018099547,33.0,36.0,DecisionTreeClassifier,0.8918918918918919,0.9,0.8892307692307693,289.0,297.0,Iteration_20
3,0.7083969465648855,0.6963434022257551,111.0,80.0,MultinomialNB,0.7324414715719063,0.6636363636363637,0.7538461538461538,245.0,219.0,Iteration_20
4,0.6809160305343511,0.603415559772296,171.0,38.0,SVC,0.8071065989847716,0.4818181818181818,0.8830769230769231,287.0,159.0,Iteration_20
5,0.8824427480916031,0.8855869242199109,32.0,45.0,RandomForestClassifier,0.8688046647230321,0.9030303030303031,0.8615384615384616,280.0,298.0,Iteration_20
6,0.6809160305343511,0.7344345616264294,41.0,168.0,AdaBoostClassifier,0.6323851203501094,0.8757575757575757,0.48307692307692307,157.0,289.0,Iteration_20
0,0.7221374045801526,0.6976744186046511,83.0,99.0,LogisticRegression,0.6796116504854369,0.7167235494880546,0.7265193370165746,263.0,210.0,Iteration_21
1,0.7374045801526717,0.6906474820143885,101.0,71.0,KNeighborsClassifier,0.7300380228136882,0.6552901023890785,0.8038674033149171,291.0,192.0,Iteration_21
2,0.8809160305343512,0.8700000000000001,32.0,46.0,DecisionTreeClassifier,0.8501628664495114,0.8907849829351536,0.8729281767955801,316.0,261.0,Iteration_21
3,0.7053435114503817,0.6484517304189436,115.0,78.0,MultinomialNB,0.6953125,0.6075085324232082,0.7845303867403315,284.0,178.0,Iteration_21
4,0.6625954198473283,0.5424430641821947,162.0,59.0,SVC,0.6894736842105263,0.447098976109215,0.8370165745856354,303.0,131.0,Iteration_21
5,0.8793893129770992,0.8707037643207856,27.0,52.0,RandomForestClassifier,0.8364779874213837,0.9078498293515358,0.856353591160221,310.0,266.0,Iteration_21
6,0.650381679389313,0.6875852660300137,41.0,188.0,AdaBoostClassifier,0.5727272727272728,0.8600682593856656,0.48066298342541436,174.0,252.0,Iteration_21
0,0.7068702290076336,0.6971608832807571,93.0,99.0,LogisticRegression,0.690625,0.7038216560509554,0.7096774193548387,242.0,221.0,Iteration_22
1,0.7206106870229008,0.6955074875207987,105.0,78.0,KNeighborsClassifier,0.7282229965156795,0.6656050955414012,0.7712609970674487,263.0,209.0,Iteration_22
2,0.8778625954198473,0.8713826366559486,43.0,37.0,DecisionTreeClassifier,0.8798701298701299,0.8630573248407644,0.8914956011730205,304.0,271.0,Iteration_22
3,0.6992366412213741,0.674380165289256,110.0,87.0,MultinomialNB,0.7010309278350515,0.6496815286624203,0.7448680351906158,254.0,204.0,Iteration_22
4,0.6549618320610687,0.562015503875969,169.0,57.0,SVC,0.7178217821782178,0.46178343949044587,0.8328445747800587,284.0,145.0,Iteration_22
5,0.8778625954198473,0.873015873015873,39.0,41.0,RandomForestClassifier,0.870253164556962,0.8757961783439491,0.8797653958944281,300.0,275.0,Iteration_22
6,0.6732824427480916,0.7123655913978494,49.0,165.0,AdaBoostClassifier,0.6162790697674418,0.8439490445859873,0.5161290322580645,176.0,265.0,Iteration_22
0,0.7267175572519083,0.723338485316847,95.0,84.0,LogisticRegression,0.7358490566037735,0.7112462006079028,0.7423312883435583,242.0,234.0,Iteration_23
1,0.751145038167939,0.7305785123966941,108.0,55.0,KNeighborsClassifier,0.8007246376811594,0.6717325227963525,0.8312883435582822,271.0,221.0,Iteration_23
2,0.8702290076335878,0.8733233979135618,36.0,49.0,DecisionTreeClassifier,0.8567251461988304,0.8905775075987842,0.8496932515337423,277.0,293.0,Iteration_23
3,0.7267175572519083,0.7051070840197693,115.0,64.0,MultinomialNB,0.7697841726618705,0.6504559270516718,0.803680981595092,262.0,214.0,Iteration_23
4,0.667175572519084,0.5886792452830188,173.0,45.0,SVC,0.7761194029850746,0.47416413373860183,0.8619631901840491,281.0,156.0,Iteration_23
5,0.8732824427480916,0.8781204111600588,30.0,53.0,RandomForestClassifier,0.8494318181818182,0.9088145896656535,0.8374233128834356,273.0,299.0,Iteration_23
6,0.6793893129770993,0.7272727272727273,49.0,161.0,AdaBoostClassifier,0.6349206349206349,0.851063829787234,0.5061349693251533,165.0,280.0,Iteration_23
0,0.7465648854961832,0.7365079365079366,86.0,80.0,LogisticRegression,0.7435897435897436,0.7295597484276729,0.7626112759643917,257.0,232.0,Iteration_24
1,0.749618320610687,0.7172413793103448,110.0,54.0,KNeighborsClassifier,0.7938931297709924,0.6540880503144654,0.8397626112759644,283.0,208.0,Iteration_24
2,0.8931297709923665,0.889589905362776,36.0,34.0,DecisionTreeClassifier,0.8924050632911392,0.8867924528301887,0.8991097922848664,303.0,282.0,Iteration_24
3,0.7312977099236642,0.7027027027027027,110.0,66.0,MultinomialNB,0.7591240875912408,0.6540880503144654,0.8041543026706232,271.0,208.0,Iteration_24
4,0.6854961832061068,0.6068702290076337,159.0,47.0,SVC,0.7718446601941747,0.5,0.8605341246290801,290.0,159.0,Iteration_24
5,0.8900763358778626,0.8881987577639752,32.0,40.0,RandomForestClassifier,0.8773006134969326,0.89937106918239,0.8813056379821959,297.0,286.0,Iteration_24
6,0.6702290076335878,0.7150395778364117,47.0,169.0,AdaBoostClassifier,0.615909090909091,0.8522012578616353,0.49851632047477745,168.0,271.0,Iteration_24
0,0.7267175572519083,0.7291981845688351,92.0,87.0,LogisticRegression,0.7347560975609756,0.7237237237237237,0.7298136645962733,235.0,241.0,Iteration_25
1,0.7358778625954199,0.7232,107.0,66.0,KNeighborsClassifier,0.773972602739726,0.6786786786786787,0.7950310559006211,256.0,226.0,Iteration_25
2,0.9068702290076336,0.9068702290076336,36.0,25.0,DecisionTreeClassifier,0.922360248447205,0.8918918918918919,0.922360248447205,297.0,297.0,Iteration_25
3,0.6961832061068702,0.682615629984051,119.0,80.0,MultinomialNB,0.7278911564625851,0.6426426426426426,0.7515527950310559,242.0,214.0,Iteration_25
4,0.665648854961832,0.5921787709497208,174.0,45.0,SVC,0.7794117647058824,0.4774774774774775,0.860248447204969,277.0,159.0,Iteration_25
5,0.899236641221374,0.9011976047904191,32.0,34.0,RandomForestClassifier,0.8985074626865671,0.9039039039039038,0.8944099378881988,288.0,301.0,Iteration_25
6,0.665648854961832,0.7144719687092568,59.0,160.0,AdaBoostClassifier,0.631336405529954,0.8228228228228228,0.5031055900621118,162.0,274.0,Iteration_25
0,0.7358778625954199,0.7390648567119155,86.0,87.0,LogisticRegression,0.7379518072289156,0.7401812688821753,0.7314814814814815,237.0,245.0,Iteration_26
1,0.6931297709923664,0.674230145867099,123.0,78.0,KNeighborsClassifier,0.7272727272727273,0.6283987915407855,0.7592592592592593,246.0,208.0,Iteration_26
